Sample ID,Day Post Infection,Log PD,PD,RBC,Temp,Weight,Mouse Categorical,Mouse,Status Number,Status,P2rx1,P2rx1.1,Lcn2,Glrx5,Ranbp10,S100a9,Fcrla,Fcrla.1,Fcrla.2,Fcrla.3,Stfa1,Epb4.1,Adipor1,Nkg7,Ngp,Flot2,Flot2.1,Abcb4,Chchd10,Chi3l1,Ank1,Ank1.1,Lck,Mllt3,Mllt3.1,Mllt3.2,Ccl5,Hp,Hp.1,Hp.2,Ctse,Hebp1,Fbxo9,Fbxo9.1,Hdc,Syvn1,Cmtm6,Prkacb,Faim3,Bnip3l,F2rl2,Trim10,Trim10.1,Trim10.2,Ltf,Lat,Chi3l3,Chi3l3.1,Mllt3.3,Hbq1,Rhag,Ltb4r1,Slpi,Rnf10,S100a8,Sell,Hcst,Fech,Fech.1,Fech.2,Id2,Id2.1,Slc25a37,Trak2,Trak2.1,Trak2.2,Ssbp3,Ssbp3.1,Ssbp3.2,Mrgpra2,Mta3,Mta3.1,Thy1,Selplg,Slc25a39,Saa3,Cd79b,Cd79b.1,Cd3d,Ltf.1,Klhl6,Klhl6.1,Klhl6.2,Retnlg,Flot2.2,Chi3l3.2,Immp2l,Ppox,Ppox.1,Rhag.1,Rhag.2,Camp,Pkig,Pkig.1,Snn,Mgst3,Mgst3.1,Urod,Flot2.3,Cd177,Cd177.1,Xpo7,Xpo7.1,Xpo7.2,Sh2d2a,Dok3,Mrgpra2.1,Aqp9,Pkig.2
9268249003_A,0,-5.0,1e-05,6.98,37.8,100.0,Six,6.2,3,Non-Survivor,-0.035413265,-0.19223213,-0.004890919,-0.79123116,-0.27115965,-0.23316288,1.5623107,1.7605014,1.199264,1.9152584,-0.20858955,0.36350155,0.15806198,0.85629606,-0.37095308,0.16702366,-0.10885191,-0.28704023,0.45152378,0.04323578,-0.23474407,-0.48551083,0.67597485,-0.3496585,0.029220104,0.15154171,-0.03040123,0.40222406,0.4583764,0.6405597,0.12531471,0.59189844,0.16617537,-0.20349836,-0.1366477,0.77500844,0.40215254,0.7627468,1.9571824,-0.42301846,-0.07202959,-0.14264536,0.73183966,0.051270008,-0.53140974,0.03247881,-0.8228345,-0.35268593,0.16556025,0.17464542,-0.16325521,0.011436462,0.23894453,0.198874,-0.36156702,1.1540346,0.45817804,0.89737606,0.22115993,-2.7726078,-0.33980083,-0.30962515,0.12270212,-0.29712057,-0.17334318,-0.19970083,-0.12601042,-0.12782669,0.26600218,0.001935959,0.3632846,0.44364166,0.9603052,0.5620489,0.010163784,-0.28944826,2.0937915,2.142397,1.3433447,-0.28310776,0.9601865,-0.008967876,0.7689676,0.6518154,-0.10848951,-0.45718908,-0.19795227,0.25328064,0.08702421,-0.12275791,-0.2807865,-0.6016679,-0.9050083,0.18632245,1.6922102,-0.14842129,-0.03396082,-0.1274004,-0.07058358,-0.15795803,0.11098242,0.061490536,-0.58473396,-0.13287449,0.3485422,1.1917953,-0.078672886,0.37082672,-0.27055788
9268249003_B,1,-4.187755303,6.49e-05,6.88,38.1,98.72773537,Six,6.2,3,Non-Survivor,-0.076645374,0.26362324,-0.11744356,-0.08119869,0.044326305,0.023686409,0.72832155,1.208571,1.0190091,1.3329039,-0.2786951,-0.12986183,0.020902634,0.4187274,-0.1911521,-0.028583527,-0.002100468,0.23641634,0.4088812,0.10167217,-0.12403679,0.34222984,0.6552639,-0.33833647,-0.10305071,-0.30578804,-0.099627495,0.105271816,-0.004186153,0.071130276,0.052045822,-0.14067507,0.14504862,-0.001161099,0.072544575,0.85188127,0.25389528,0.7554846,1.6826863,0.004476547,0.013531208,-0.061881542,0.09536505,0.41812277,-0.20940256,0.15058565,-0.51677275,-0.13520145,-0.08307123,0.5550451,-0.07246065,-0.050458908,0.645844,0.19397783,-0.1091876,0.6710043,0.4465108,-0.061393738,-0.0966444,-1.4651585,-0.32071495,-0.25107527,-0.16245604,-0.12519312,0.32603407,0.07092619,-0.13014746,-0.06812382,-0.1822238,0.25114536,-0.10084963,0.16138935,0.5089445,0.5530882,0.03920889,0.091187,1.5764995,1.248271,0.9323168,0.11497879,0.8372083,0.08263731,0.79926205,0.06341839,0.019154072,-0.38601828,-0.31314564,0.27181816,-0.11093187,-0.031300545,-0.1591444,-0.24842882,-0.21003151,0.049514055,1.6075058,-0.1807394,0.23184061,0.24176025,-0.022545576,0.014980316,-0.06891298,-0.18668509,-0.54970455,0.008432388,0.3468542,1.53582,-0.03429842,0.18979931,0.03145361
9268249003_C,2,-3.269217724,0.000538,7.51,37.5,97.60814249,Six,6.2,3,Non-Survivor,0.07582235,0.5668993,-0.36287546,-0.6578722,-0.40465307,-0.56571674,0.6064296,0.7942548,0.52067614,0.675292,-0.42923737,-0.2539463,-0.49393368,0.24885511,-0.2826066,-0.048808098,-0.002168179,0.034698963,0.43891525,-0.2302866,-0.09654236,0.09274578,0.3292551,-0.11861563,-0.17314386,-0.85188293,-0.40866852,0.005889416,-0.15661478,-0.2919488,-0.42968845,-0.51294756,-0.022806644,0.2941451,-0.44747686,1.1114438,-0.11080694,0.558547,1.1870999,-0.490757,-0.041795254,0.21724176,-0.011035442,0.07892275,-0.22494268,-0.08216238,-0.9590945,-0.2931738,-0.18528128,-0.48958778,-0.16634989,0.09408665,0.04812002,-0.024610043,-0.94543123,0.1906786,0.23463106,-0.097774506,-0.26545334,-1.8701487,-0.4596119,-0.19073153,-0.62211466,-0.45133924,0.12934065,-0.41067076,-0.038903713,0.055267334,-0.6843934,0.28380394,-0.020462513,-0.16103745,0.2670374,0.07031441,-0.10610247,-0.24496126,1.2628093,1.0765457,0.7588749,-0.059781075,0.4451394,-0.12049055,0.44919014,-0.6578312,-0.289886,-0.95312834,-0.23267269,-0.007187843,0.03763628,-0.26829433,-0.29749584,-0.28352594,-0.64353085,0.03862691,1.4300804,-0.41088486,0.09344435,-0.39672947,0.050400496,0.07004166,-0.10757303,-0.26960707,-0.7244406,0.09784603,0.48360157,1.4311714,-0.21290064,-0.13560581,0.012527943
9268249003_D,3,-2.44917982,0.003554841,6.58,37.2,97.60814249,Six,6.2,3,Non-Survivor,0.074875355,0.10702038,-0.7149806,-0.9388647,-0.7157111,-0.7347498,0.58971643,0.62132406,0.3212123,0.67572594,-0.3052292,-0.38728237,-0.5355406,0.4102378,-0.24848223,-0.20953369,-0.047741413,-0.23434782,0.053699493,-0.073384285,-0.015752792,-0.011358261,0.30566978,-0.15575266,-0.061028004,-0.9868164,-0.7079134,0.14212275,0.10180235,0.022790432,-0.7163563,-0.6714587,-0.23230314,-0.19631243,-0.44205332,0.8210261,0.07720709,0.21965408,1.048285,-0.9469557,-0.06697035,0.033907413,-0.4339738,-0.3529048,-0.31188536,-0.23983145,-0.90521,-0.057728767,-0.49931955,-0.61924744,-0.2231574,0.007111549,0.11002684,-0.04770899,-0.9272361,0.2625513,0.007021427,-0.3372364,-0.50302505,-2.136263,-0.39141846,-0.11283636,-0.67402315,-0.035573483,-0.19300985,-0.49954462,0.014705181,-0.12738514,-0.6195178,0.22356987,-0.18790483,-0.25947952,0.26812744,0.15962124,-0.11099768,-0.2180214,1.3089652,1.2087164,0.44890118,0.007410049,0.24207354,-0.15961885,0.32613277,-0.4319868,-0.24305487,-0.33003092,-0.50231075,0.12879276,0.07091093,-0.13230896,-0.27832985,-0.42541504,-0.79821014,-0.09376311,1.1898928,-0.52425766,-0.33424425,-0.65397453,0.034032583,0.07593441,0.17129564,-0.46917582,-0.88271236,0.081380844,0.3292637,1.0639772,-0.20297575,-0.1064291,0.10684538
9268249003_E,4,-1.604437282,0.024863526,7.46,37.1,98.88040712,Six,6.2,3,Non-Survivor,-0.22909212,-0.00810051,-0.6848464,-0.8889837,-0.96781206,-0.534564,0.12075186,0.032067776,-0.025972843,0.18079758,-0.16204166,-0.6920605,-0.49309158,0.22091913,-0.21905375,0.03118515,0.22023821,-0.086619854,-0.38178635,-0.24308968,-0.09059143,-0.19976807,-0.10682297,-0.16925669,-0.15534544,-0.8011427,-1.7940912,-0.36283827,-0.2662711,-0.18447733,-0.6986885,-0.9623275,-0.7932801,-0.64047,0.6845975,0.46616387,-0.18045378,-0.17273521,0.46777868,-0.33965492,-0.21424627,-0.079389095,-0.90446043,-0.608377,-0.26787806,-0.5921025,-0.49388742,-0.059358597,-0.5171075,-0.634531,-0.17213964,-0.100115776,-0.039869785,-0.25440168,-0.51016855,0.4284773,-0.1635747,-1.0730877,-0.85219383,-2.291586,-0.54665375,-0.16832781,-0.517591,-0.3227086,-0.38748693,-1.0072417,-0.10107374,-0.11545086,-0.6941962,0.17462063,-0.21885157,-0.22883987,-0.2689457,-0.09005165,-0.42226458,-0.014251232,0.46758127,0.36923695,0.06945038,0.11360836,0.066559315,-0.10588312,0.03770256,-0.74675655,0.17291594,-0.075900555,-0.44126797,-0.10218811,-0.24417353,-0.300992,-0.36457157,-0.11364603,-0.86855793,0.10772157,0.64328384,-0.5015192,-0.29378748,-0.66173077,-0.017896414,-0.15684605,0.003742695,-0.55956984,-1.0449963,0.034207344,0.06292629,0.8545437,0.000475,-0.12194538,0.009445667
9268249003_F,5,-0.584042689,0.260589739,6.94,37.6,98.2697201,Six,6.2,3,Non-Survivor,-0.0453887,-0.042959213,-0.65101576,0.016285896,0.11606264,-0.75560284,0.032360554,-0.48498774,-0.6339202,-0.5225954,-0.16910172,-0.122078896,-0.0466671,0.041074276,0.06393099,0.028175354,-0.12346029,0.5636935,-0.21309185,-0.3035679,0.007510185,0.6334076,-0.29206944,-0.112588406,0.07257128,-0.16510868,-1.1411095,-0.38944864,-0.16646147,-0.5290427,0.23445797,-0.2685027,0.13484144,0.3786683,0.3862729,0.06560159,-0.54239607,-0.17928791,-0.1369319,-0.006772041,-0.036332607,-0.08007002,0.6393981,0.7918687,0.11472082,-0.39079046,-0.4280715,-0.06205845,0.10985136,-0.04024315,-0.021825314,-0.24546528,-0.19772673,0.43230104,-1.098392,-0.17666054,-0.45792246,0.08086777,-0.04695034,-1.6829395,-0.3840418,-0.08637476,-0.48174715,-0.12522173,0.5253024,0.001915455,0.030395031,0.016806602,-0.29916906,0.5254469,-0.22796297,0.1700201,-0.44752407,-0.3979168,-0.010163784,-0.09106398,-0.40652323,-0.45641327,-0.050091743,-0.059156418,-0.1299653,-0.08082533,-0.087750435,-1.3338938,-0.12098265,-0.5335231,-0.27809334,0.18416882,0.16234064,-0.03439617,0.22361946,-0.22717714,-0.8267727,-0.004829168,0.015350342,0.18200016,0.37718916,-0.114780426,0.11694026,-0.1882515,-0.2664876,0.25940275,-0.43354225,0.1674633,0.37771225,0.27404118,0.049753666,0.28318024,0.04825163
9268249003_G,6,-0.286768964,0.516691165,6.22,37.8,98.11704835,Six,6.2,3,Non-Survivor,-0.26327753,-0.28920078,-0.3532071,-0.4707241,-0.24077368,-0.80574703,-0.1304841,-0.72970915,-0.74163675,-0.6757393,-0.28885746,-0.9410486,-0.887907,1.5535388,-0.084938526,0.2187481,-0.12831736,-0.22212458,-0.6201544,-0.39503098,-0.020283699,-0.21578598,0.51135254,-0.07738733,-0.06520796,-0.14122295,0.8109913,-0.22971582,-0.20867777,-0.47753286,-0.461771,-0.9929366,-0.5951171,-0.27828646,0.034787655,-0.015506506,-0.5203366,7.92e-05,-0.71903276,-0.9108763,-0.16695166,0.14571619,0.17336607,-0.040189266,0.022163868,0.101668835,0.14795065,0.65129566,0.39602137,-1.2391491,0.061501026,-0.08320427,-0.8448672,-0.26530123,-1.0880885,-0.20464039,-0.2654786,-0.99157715,-1.1569462,-2.7690783,0.20042515,-0.0907073,-1.7448249,-0.14630175,0.19619799,-0.32472754,0.05266905,-0.15639877,-1.099237,-0.0241642,-0.27353144,-0.2997408,0.3510666,0.032687187,-0.9927802,0.4370265,-0.9427581,-0.7372322,0.21090412,0.06512928,-0.3482051,-0.1302123,-0.2598381,-1.251298,0.34303427,0.45583105,-1.1368027,-0.2697239,0.044831753,0.057887077,0.19575977,-0.15695333,-1.1054211,-0.040231466,-0.51920223,-0.687871,-0.4689126,-0.8555784,-0.049387217,-0.09113312,-0.30689096,0.27052736,-0.44190884,0.03377247,1.2310743,-0.000529,0.028131962,-0.47179127,0.10616064
9268249003_H,7,-0.102841015,0.789148953,3.46,33.1,94.19847328,Six,6.2,3,Non-Survivor,0.04997778,0.07125664,2.225308,-0.67272663,-0.030268192,0.5550661,-0.20233679,-0.88748884,-0.7576232,-0.8378477,-0.2568369,-1.2536154,-1.4857855,2.2393184,1.2499032,0.3696003,0.11615896,0.18239355,-0.53622055,0.24693489,0.048018456,-0.32197,0.7779064,-0.08030844,-0.08266306,-0.2566471,2.5456285,0.50630045,0.49988317,0.64693975,-0.21195412,-1.3756022,-0.9015908,-0.37053347,0.9342828,-0.20835662,-0.47793245,0.36333084,-1.0292792,-1.4732122,0.005624294,0.011110783,-0.48140478,-0.65777063,1.1520104,0.5376954,0.92134905,1.0957193,0.19855547,-2.1317282,0.39086485,0.27167416,-0.36966658,-0.60516214,0.30763102,-0.3576393,0.34884596,-1.379056,-1.5076027,-3.3344421,0.94938755,0.13274813,-2.5499291,0.054989338,0.09162283,-0.44581556,-0.06853962,-0.26148224,-1.3298793,0.093271255,-0.14929914,-0.46693134,0.86926556,0.53357124,-1.4414334,1.7196021,-1.1789899,-1.0727549,1.1281071,-0.002256393,0.96809816,-0.017661572,0.94940186,1.3709269,0.63267374,1.1932578,-1.5643406,-0.012024879,-0.042371273,0.48034477,0.29674625,0.933455,-1.0685816,0.07328248,-0.87912846,-0.93962,-0.4902072,0.006282806,0.14913678,0.012351036,0.32100725,-0.005404949,-0.44032097,-0.0814352,2.5202913,0.47966003,0.3618474,-0.6525917,0.12646055
9268249006_A,8,-0.508307239,0.310236406,2.38,30.0,87.43002545,Six,6.2,3,Non-Survivor,0.94130087,1.39079,3.603477,-1.1212301,0.08422804,2.0084534,-0.20834112,-0.56237173,-0.47913885,-0.465271,0.67982864,-1.410594,-1.858695,2.0411296,2.6993327,1.0889196,0.01295042,0.8189492,0.09651756,1.3074837,0.011362076,-0.095321655,0.22721004,-0.23046255,-0.19005156,-0.20741463,2.724492,1.7867923000000001,1.8671689,1.9993272,0.473938,-1.3172622,-1.3588891,-0.73307276,1.8870387,0.43382668,0.28399134,0.4951172,-1.0195899,-1.6036215,0.7292237,-0.16516447,-1.1942744,-1.243156,2.470427,0.574121,3.437797,3.94172,0.3808875,-2.4052258,0.21673441,1.1499605,1.3581471,-0.6090894,1.8577552,-0.40625858,1.0633111,-1.474432,-1.6565104,-3.2638865,1.5629215,0.18988848,-2.1610923,-0.003807545,-0.01330328,-0.5666537,0.023678303,-0.34420967,-1.0701079,-0.105620384,-0.008817196,-0.1935072,0.5404215,0.7985573,-1.20361,2.5726037,-0.35442877,-0.5372238,1.1825714,-0.048279762,1.7049823,0.099252224,1.7589178,2.3431501,1.4931664,3.989902,-0.86677647,0.191082,-0.13627195,0.087183,0.074430466,2.5365224,-0.7369795,0.08794999,-0.4233446,0.042024612,0.4927392,1.2028484,0.06464553,0.57109547,1.4657903,-0.38978148,-0.47870064,-0.08553696,2.5155544,1.576519,0.46983004,-0.70493793,0.016079426
9268249006_B,9,-0.593886789,0.254749424,1.53,28.8,81.06870229,Six,6.2,3,Non-Survivor,2.4089818,2.654766,3.164289,-0.1868658,1.160667,1.7318296,-0.22508287,-1.1247134,-0.8627019,-1.1031017,1.4711771,-0.6721134,-1.1344719,-0.43827486,2.2651381,0.70438576,-0.021774769,1.8318448,1.9010592,0.9429674,0.008374214,0.16431904,-1.0361099,-0.27918243,-0.030881405,1.0544901,0.63086796,0.7538991,0.8051305,1.1572938,1.9008865,-0.7920089,-0.55429316,-0.26169443,1.2422881,-0.10981059,0.20364046,0.12346077,-1.388679,-0.8007164,2.017449,-0.077418804,-0.3618331,-0.09542036,2.5398726,0.98308516,2.6872678,2.695653,1.5126328,-1.4336853,0.6889024,1.2493582,2.2531972,0.16222143,1.8695884,-1.7311687,0.9040103,-0.792429,-0.818264,-2.840066,0.3913555,-0.05853319,-1.1140885,-0.07940388,0.92779875,0.44735384,0.000597,-0.17105389,-0.35896063,0.08033848,-0.252769,0.8991308,-1.2833128,-0.55535126,-0.19668245,3.3440776,-0.68940496,-0.7842531,-0.35071278,0.029743195,1.3124967,-0.05487013,1.1929979,1.8456812,1.0575099,3.136558,-0.5292835,0.6846514,0.13646746,0.89107513,0.63787174,2.239695,-0.05879593,0.023175478,-0.7437763,1.3596754,1.9339814,2.479249,0.18151641,0.5191717,1.4743428,-0.40583944,-0.38600636,0.047607422,0.5358238,1.168128,0.041494846,-0.1710062,0.32207918
